nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
NCT01064687,,05-02-2010,03-10-2014,10-02-2012,15-01-2015,05-02-2010,08-02-2010,Estimate,15-01-2015,26-01-2015,Estimate,10-02-2012,14-02-2012,Estimate,15-01-2015,26-01-2015,Estimate,Feb-10,,28-02-2010,Jan-15,31-01-2015,May-12,Actual,31-05-2012,Nov-11,Actual,30-11-2011,,Interventional,AWARD-1,"Participants who were randomized and received at least 1 dose of LY2189265, Exenatide, or Placebo.",A Study in Participants With Type 2 Diabetes Mellitus,"A Randomized, Placebo-Controlled Comparison of the Effects of Two Doses of LY2189265 or Exenatide on Glycemic Control in Patients With Type 2 Diabetes on Stable Doses of Metformin and Pioglitazone (AWARD-1: Assessment of Weekly Administration of LY2189265 in Diabetes-1)",Completed,,Phase 3,978,Actual,Eli Lilly and Company,,4,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-11-23 04:16:06.386,2022-11-23 04:16:06.386,INDUSTRY,,,,,
NCT01075282,,23-02-2010,03-10-2014,18-09-2012,15-01-2015,23-02-2010,25-02-2010,Estimate,15-01-2015,16-01-2015,Estimate,18-09-2012,25-09-2012,Estimate,15-01-2015,16-01-2015,Estimate,Feb-10,,28-02-2010,Jan-15,31-01-2015,Nov-12,Actual,30-11-2012,May-12,Actual,31-05-2012,,Interventional,AWARD-2,Participants who were randomized and received at least 1 dose of LY2189265 or Insulin Glargine.,A Study in Participants With Type 2 Diabetes Mellitus (AWARD-2),"A Randomized, Open-Label, Parallel-Arm, Noninferiority Comparison of the Effects of Two Doses of LY2189265 and Insulin Glargine on Glycemic Control in Patients With Type 2 Diabetes on Stable Doses of Metformin and Glimepiride",Completed,,Phase 3,810,Actual,Eli Lilly and Company,,3,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-11-23 04:12:57.202,2022-11-23 04:12:57.202,INDUSTRY,,,,,
NCT01126580,,18-05-2010,03-10-2014,24-05-2012,15-01-2015,18-05-2010,19-05-2010,Estimate,15-01-2015,16-01-2015,Estimate,24-05-2012,01-06-2012,Estimate,15-01-2015,16-01-2015,Estimate,May-10,,31-05-2010,Jan-15,31-01-2015,Jun-12,Actual,30-06-2012,Nov-11,Actual,30-11-2011,,Interventional,,Participants who received at least 1 dose of LY2189265 or Metformin.,A Study in Participants With Type 2 Diabetes Mellitus (AWARD-3),The Impact of LY2189265 Versus Metformin on Glycemic Control in Early Type 2 Diabetes Mellitus (AWARD-3: Assessment of Weekly AdministRation of LY2189265 in Diabetes-3),Completed,,Phase 3,807,Actual,Eli Lilly and Company,,3,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-11-23 03:57:53.580,2022-11-23 03:57:53.580,INDUSTRY,,,,,
NCT01191268,,27-08-2010,03-10-2014,24-05-2012,03-10-2014,27-08-2010,30-08-2010,Estimate,03-10-2014,08-10-2014,Estimate,24-05-2012,01-06-2012,Estimate,03-10-2014,08-10-2014,Estimate,Nov-10,,30-11-2010,Oct-14,31-10-2014,Sep-12,Actual,30-09-2012,Feb-12,Actual,29-02-2012,,Interventional,,Participants who were randomized and received at least 1 dose of LY2189265 or Insulin Glargine.,A Study in Participants With Type 2 Diabetes Mellitus (AWARD-4),The Impact of LY2189265 Versus Insulin Glargine in Combination With Insulin Lispro for the Treatment to Target of Type 2 Diabetes Mellitus (AWARD-4: Assessment of Weekly AdministRation of LY2189265 in Diabetes - 4),Completed,,Phase 3,884,Actual,Eli Lilly and Company,,3,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-11-23 03:40:45.018,2022-11-23 03:40:45.018,INDUSTRY,,,,,
NCT01885208,,20-06-2013,21-12-2017,23-09-2016,28-05-2019,21-06-2013,24-06-2013,Estimate,02-03-2018,30-03-2018,Actual,23-09-2016,26-09-2016,Estimate,28-05-2019,13-06-2019,Actual,"December 2, 2013",Actual,02-12-2013,May-19,31-05-2019,"July 13, 2015",Actual,13-07-2015,"July 13, 2015",Actual,13-07-2015,,Interventional,SUSTAIN™ 3,The full analysis set (FAS) included all randomised subjects who have received at least one dose of randomised semaglutide 1.0 mg or exenatide ER 2.0 mg. Subjects in the FAS contributed to the evaluation based on the treatment assigned at randomisation.,Efficacy and Safety of Semaglutide Once-weekly Versus Exenatide ER 2.0 mg Once-weekly as add-on to 1-2 Oral Antidiabetic Drugs (OADs) in Subjects With Type 2 Diabetes,Efficacy and Safety of Semaglutide Once-weekly Versus Exenatide ER 2.0 mg Once-weekly as add-on to 1-2 Oral Antidiabetic Drugs (OADs) in Subjects With Type 2 Diabetes (SUSTAIN™ 3 - vs. QW GLP-1),Completed,,Phase 3,813,Actual,Novo Nordisk A/S,,2,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-12-16 03:54:07.971,2022-12-16 03:54:07.971,INDUSTRY,,,,,
NCT01930188,,23-08-2013,14-12-2017,10-11-2016,28-05-2019,23-08-2013,28-08-2013,Estimate,21-06-2018,07-01-2019,Actual,10-11-2016,11-11-2016,Estimate,28-05-2019,13-06-2019,Actual,"December 2, 2013",Actual,02-12-2013,May-19,31-05-2019,"October 12, 2015",Actual,12-10-2015,"October 12, 2015",Actual,12-10-2015,,Interventional,SUSTAIN™ 2,"Of 1231 randomised subjects, 6 were excluded: 1 subject each in the semaglutide 0.5 mg and 1.0 mg arms and 4 subjects in the sitagliptin arm were not exposed to trial treatment. Baseline characteristics were presented for 1225 subjects (Full Analysis Set), who received at least one dose of randomised semaglutide or sitagliptin.",Efficacy and Safety of Semaglutide Once-weekly Versus Sitagliptin Once-daily as add-on to Metformin and/or TZD in Subjects With Type 2 Diabetes,Efficacy and Safety of Semaglutide Once-weekly Versus Sitagliptin Once-daily as add-on to Metformin and/or TZD in Subjects With Type 2 Diabetes (SUSTAIN™ 2 - vs. DPP-4 Inhibitor),Completed,,Phase 3,1231,Actual,Novo Nordisk A/S,,4,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-12-16 03:43:25.827,2022-12-16 03:43:25.827,INDUSTRY,,,,,
NCT02054897,,03-02-2014,22-12-2017,17-03-2016,28-05-2019,03-02-2014,04-02-2014,Estimate,22-12-2017,23-01-2018,Actual,17-03-2016,15-04-2016,Estimate,28-05-2019,12-06-2019,Actual,"February 3, 2014",Actual,03-02-2014,May-19,31-05-2019,"May 8, 2015",Actual,08-05-2015,"May 8, 2015",Actual,08-05-2015,,Interventional,SUSTAIN™1,Full analysis set (FAS) included all randomised subjects who had received at least 1 dose of randomised semaglutide (s.c.) or placebo.,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo in Drug-naïve Subjects With Type 2 Diabetes,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo in Drug-naïve Subjects With Type 2 Diabetes,Completed,,Phase 3,388,Actual,Novo Nordisk A/S,,4,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-12-16 03:13:19.066,2022-12-16 03:13:19.066,INDUSTRY,,,,,
NCT02128932,,24-04-2014,14-12-2017,18-08-2016,28-05-2019,29-04-2014,01-05-2014,Estimate,06-02-2018,08-03-2018,Actual,18-08-2016,19-08-2016,Estimate,28-05-2019,13-06-2019,Actual,"August 4, 2014",Actual,04-08-2014,May-19,31-05-2019,"September 3, 2015",Actual,03-09-2015,"September 3, 2015",Actual,03-09-2015,,Interventional,SUSTAIN™ 4,The full analysis set (FAS) included all randomised subjects who had received at least one dose of randomised semaglutide (s.c.) or insulin glargine. Subjects in the FAS contributed to the evaluation based on the treatment assigned at randomisation.,Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as add-on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as Add on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,Completed,,Phase 3,1089,Actual,Novo Nordisk A/S,,3,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-12-16 02:55:24.506,2022-12-16 02:55:24.506,INDUSTRY,,,,,
NCT02607865,,10-11-2015,15-10-2019,01-02-2018,11-07-2022,16-11-2015,18-11-2015,Estimate,14-02-2020,27-02-2020,Actual,01-02-2018,05-02-2018,Actual,11-07-2022,20-07-2022,Actual,"February 15, 2016",Actual,15-02-2016,Jul-22,31-07-2022,"March 28, 2018",Actual,28-03-2018,"February 14, 2017",Actual,14-02-2017,,Interventional,PIONEER 3,The FAS comprised all randomised participants.,Efficacy and Long-term Safety of Oral Semaglutide Versus Sitagliptin in Subjects With Type 2 Diabetes,Efficacy and Long-term Safety of Oral Semaglutide Versus Sitagliptin in Subjects With Type 2 Diabetes,Completed,,Phase 3,1864,Actual,Novo Nordisk A/S,,4,,,FALSE,,,,FALSE,TRUE,FALSE,,,,,,,,,Yes,According to the Novo Nordisk disclosure commitment on novonordisk-trials.com,2022-12-12 04:20:57.261,2022-12-12 04:20:57.261,INDUSTRY,,,,,
NCT02863328,,08-08-2016,15-10-2019,20-07-2018,11-07-2022,08-08-2016,11-08-2016,Estimate,06-12-2019,24-12-2019,Actual,20-07-2018,24-07-2018,Actual,11-07-2022,20-07-2022,Actual,"August 10, 2016",Actual,10-08-2016,Jul-22,31-07-2022,"March 8, 2018",Actual,08-03-2018,"August 1, 2017",Actual,01-08-2017,,Interventional,PIONEER 2,"FAS comprised of all randomised participants; however, one subject was randomised twice and thereby only included in FAS once.",Efficacy and Safety of Oral Semaglutide Versus Empagliflozin in Subjects With Type 2 Diabetes Mellitus,Efficacy and Safety of Oral Semaglutide Versus Empagliflozin in Subjects With Type 2 Diabetes Mellitus,Completed,,Phase 3,822,Actual,Novo Nordisk A/S,,2,,,FALSE,,,,FALSE,,,,,,,,,,,,,2022-12-11 18:56:08.633,2022-12-11 18:56:08.633,INDUSTRY,,,,,
