nct_id,name
NCT01126580,"Diabetes Mellitus, Type 2"
NCT03987919,Type 2 Diabetes
NCT03730662,Type 2 Diabetes Mellitus
NCT01064687,"Diabetes Mellitus, Type 2"
NCT05260021,Type2 Diabetes
NCT05260021,Diabetes Mellitus
NCT05260021,"Diabetes Mellitus, Type 2"
NCT05260021,T2D
NCT02054897,Diabetes
NCT02054897,"Diabetes Mellitus, Type 2"
NCT01930188,Diabetes
NCT01930188,"Diabetes Mellitus, Type 2"
NCT01885208,"Diabetes Mellitus, Type 2"
NCT02607865,"Diabetes Mellitus, Type 2"
NCT05260021,Endocrine System Diseases
NCT05260021,Metabolic Disease
NCT05259033,"Diabetes Mellitus, Type 2"
NCT02863419,Diabetes
NCT02863419,"Diabetes Mellitus, Type 2"
NCT02863328,"Diabetes Mellitus, Type 2"
NCT01885208,Diabetes
NCT01191268,"Diabetes Mellitus, Type 2"
NCT05433584,Type 2 Diabetes
NCT02128932,Diabetes
NCT02128932,"Diabetes Mellitus, Type 2"
NCT02607865,Diabetes
NCT05260021,T2DM (Type 2 Diabetes Mellitus)
NCT05260021,Glucose Metabolism Disorders
NCT05441267,"Diabetes Mellitus, Type 2"
NCT02863328,Diabetes
NCT01075282,"Diabetes Mellitus, Type 2"
NCT03954834,Type 2 Diabetes Mellitus
NCT02906930,Diabetes
NCT02906930,"Diabetes Mellitus, Type 2"
NCT03882970,Type 2 Diabetes Mellitus
