nct_id,allocation,masking_description
NCT01064687,Randomized,
NCT01075282,Randomized,
NCT01126580,Randomized,
NCT01191268,Randomized,
NCT01885208,Randomized,
NCT01930188,Randomized,
NCT02054897,Randomized,
NCT02128932,Randomized,
NCT02607865,Randomized,
NCT02863328,Randomized,
NCT02863419,Randomized,
NCT02906930,Randomized,
NCT03730662,Randomized,
NCT03882970,Randomized,
NCT03954834,Randomized,
NCT03987919,Randomized,
NCT05259033,Randomized,
NCT05260021,Randomized,
NCT05433584,Randomized,
NCT05441267,Randomized,Randomised double-blind placebo-controlled trial
