nct_id,title
NCT01064687,Change From Baseline to 26 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c)
NCT01064687,Change From Baseline to 52 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c)
NCT01064687,Change From Baseline to 26 Weeks for Body Weight
NCT01064687,Change From Baseline to 52 Weeks for Body Weight
NCT01064687,Change From Baseline to 26 Weeks on Body Mass Index (BMI)
NCT01064687,Change From Baseline to 52 Weeks on Body Mass Index (BMI)
NCT01064687,Change From Baseline to 26 Weeks for Daily Mean Blood Glucose Values From the 8-point Self-monitored Plasma Glucose (SMPG) Profiles
NCT01064687,Change From Baseline to 52 Weeks for Daily Mean Blood Glucose Values From the 8-point Self-monitored Plasma Glucose (SMPG) Profiles
NCT01064687,Percentage of Participants Attaining Glycosylated Hemoglobin (HbA1c) Less Than 7% and Less Than or Equal to 6.5% at 26 Weeks
NCT01064687,Percentage of Participants Attaining Glycosylated Hemoglobin (HbA1c) Less Than 7% and Less Than or Equal to 6.5% at 52 Weeks
NCT01064687,Change From Baseline to 26 Weeks in Updated Homeostasis Model Assessment of Beta-cell Function (HOMA2-%B) and Updated Homeostasis Model Assessment of Insulin Sensitivity (HOMA2-%S)
NCT01064687,Change From Baseline to 52 Weeks in Updated Homeostasis Model Assessment of Beta-cell Function (HOMA2-%B) and Updated Homeostasis Model Assessment of Insulin Sensitivity (HOMA2-%S)
NCT01064687,Change From Baseline to 26 Weeks in the EuroQol 5
NCT01064687,Change From Baseline to 52 Weeks in the EuroQol 5
NCT01064687,Change From Baseline to 26 Weeks in the Diabetes Treatment Satisfaction Questionnaire Status (DTSQs) Version
NCT01064687,Change From Baseline to 52 Weeks in the Diabetes Treatment Satisfaction Questionnaire Status (DTSQs) and Change (DTSQc) Versions
NCT01064687,Change From Baseline to 26 Weeks in the Impact of Weight on Activities of Daily Living
NCT01064687,Change From Baseline to 52 Weeks in the Impact of Weight on Activities of Daily Living
NCT01064687,Change From Baseline to 26 Weeks on the Impact of Weight on Self-Perception
NCT01064687,Change From Baseline to 52 Weeks on the Impact of Weight on Self-Perception
NCT01064687,Number of Participants With Adjudicated Cardiovascular Events at 52 Weeks
NCT01064687,"Change From Baseline to 26 Weeks on Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval"
NCT01064687,"Change From Baseline to 52 Weeks on Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval"
NCT01064687,Change in Baseline to 26 Weeks on Pulse Rate
NCT01064687,Change in Baseline to 52 Weeks on Pulse Rate
NCT01064687,Change From Baseline to 26 Weeks on Blood Pressure
NCT01064687,Change From Baseline to 52 Weeks on Blood Pressure
NCT01064687,Number of Participants With Adjudicated Pancreatitis at 26 Weeks
NCT01064687,Number of Participants With Adjudicated Pancreatitis at 52 Weeks
NCT01064687,Change From Baseline to 26 Weeks on Pancreatic Enzymes
NCT01064687,Change From Baseline to 52 Weeks on Pancreatic Enzymes
NCT01064687,Change From Baseline to 26 Weeks on Serum Calcitonin
NCT01064687,Change From Baseline to 52 Weeks on Serum Calcitonin
NCT01064687,Number of Self-reported Hypoglycemic Events at 26 Weeks
NCT01064687,Number of Self-reported Hypoglycemic Events at 52 Weeks
NCT01064687,Rate of Self-reported Hypoglycemic Events at 26 Weeks
NCT01064687,Rate of Self-reported Hypoglycemic Events at 52 Weeks
NCT01064687,Number of Participants Requiring Rescue Therapy Due to Hyperglycemia at 26 Weeks
NCT01064687,Number of Participants Requiring Rescue Therapy Due to Hyperglycemia at 52 Weeks
NCT01064687,Number of Participants With LY2189265 Antibodies at 26 Weeks
NCT01064687,Number of Participants With LY2189265 Antibodies at 52 Weeks and 4 Weeks After Last Dose of Study Drug
NCT01064687,Number of Participants With Treatment Emergent Adverse Events at 26 Weeks
NCT01064687,Number of Participants With Treatment Emergent Adverse Events at 52 Weeks
NCT01064687,Change From Baseline to 26 Weeks in Hematological and Biochemical Lab Values
NCT01064687,Change From Baseline to 52 Weeks in Hematological and Biochemical Lab Values
NCT01064687,Change From Baseline to 26 Weeks in N Terminal Pro Brain Natriuretic Peptide (NT-proBNP)
NCT01064687,Pharmacokinetics: Area Under the Concentration Curve (AUC) for LY2189265
NCT01075282,Change From Baseline to 52 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c)
NCT01075282,Change From Baseline to 26 Weeks and 78 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c)
NCT01075282,"Number of Participants Achieving Glycosylated Hemoglobin (HbA1c) Less Than 7% at 26, 52 and 78 Weeks"
NCT01075282,"Number of Participants Achieving Glycosylated Hemoglobin (HbA1c) Less Than or Equal to 6.5% at 26, 52 and 78 Weeks"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks for Daily Mean Blood Glucose Values From the 8-point Self-monitored Blood Glucose (SMBG) Profiles"
NCT01075282,Change From Baseline to 52 and 78 Weeks in Updated Homeostasis Model Assessment of Beta-cell Function (HOMA2-%B) and Updated Homeostasis Model Assessment of Insulin Sensitivity (HOMA2-%S)
NCT01075282,Change From Baseline to 52 and 78 Weeks in Glucagon Concentration
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks for Body Weight"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks for Body Mass Index"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks in the EuroQol 5 Dimension"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks in the Impact of Weight on Activities of Daily Living"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks in the Impact of Weight on Self-Perception"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks in the Low Blood Sugar Survey"
NCT01075282,"Number of Participants With Treatment Emergent Adverse Events at 26, 52 and 78 Weeks"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks on Electrocardiogram Parameters, Heart Rate"
NCT01075282,"Number of Self-reported Hypoglycemic Events at 26, 52 and 78 Weeks"
NCT01075282,"Rate of Self-reported Hypoglycemic Events at 26, 52 and 78 Weeks"
NCT01075282,"Number of Participants Requiring Additional Intervention Due to Hyperglycemia at 26, 52 and 78 Weeks"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks on Pancreatic Enzymes"
NCT01075282,"Number of Participants With Adjudicated Pancreatitis at 26, 52 and 78 Weeks"
NCT01075282,"Change From Baseline to 26, 52 and 78 Weeks on Serum Calcitonin"
NCT01075282,"Number of Participants With Adjudicated Cardiovascular Events at 26, 52 and 78 Weeks"
