nct_id,last_update_posted_date,start_date,completion_date,primary_completion_date,official_title,overall_status,phase,enrollment,number_of_arms
NCT01064687,2015-01-26,2010-02-28,2012-05-31,2011-11-30,"A Randomized, Placebo-Controlled Comparison of the Effects of Two Doses of LY2189265 or Exenatide on Glycemic Control in Patients With Type 2 Diabetes on Stable Doses of Metformin and Pioglitazone (AWARD-1: Assessment of Weekly Administration of LY2189265 in Diabetes-1)",Completed,Phase 3,978,4
NCT01075282,2015-01-16,2010-02-28,2012-11-30,2012-05-31,"A Randomized, Open-Label, Parallel-Arm, Noninferiority Comparison of the Effects of Two Doses of LY2189265 and Insulin Glargine on Glycemic Control in Patients With Type 2 Diabetes on Stable Doses of Metformin and Glimepiride",Completed,Phase 3,810,3
NCT01126580,2015-01-16,2010-05-31,2012-06-30,2011-11-30,The Impact of LY2189265 Versus Metformin on Glycemic Control in Early Type 2 Diabetes Mellitus (AWARD-3: Assessment of Weekly AdministRation of LY2189265 in Diabetes-3),Completed,Phase 3,807,3
NCT01191268,2014-10-08,2010-11-30,2012-09-30,2012-02-29,The Impact of LY2189265 Versus Insulin Glargine in Combination With Insulin Lispro for the Treatment to Target of Type 2 Diabetes Mellitus (AWARD-4: Assessment of Weekly AdministRation of LY2189265 in Diabetes - 4),Completed,Phase 3,884,3
NCT01885208,2019-06-13,2013-12-02,2015-07-13,2015-07-13,Efficacy and Safety of Semaglutide Once-weekly Versus Exenatide ER 2.0 mg Once-weekly as add-on to 1-2 Oral Antidiabetic Drugs (OADs) in Subjects With Type 2 Diabetes (SUSTAIN™ 3 - vs. QW GLP-1),Completed,Phase 3,813,2
NCT01930188,2019-06-13,2013-12-02,2015-10-12,2015-10-12,Efficacy and Safety of Semaglutide Once-weekly Versus Sitagliptin Once-daily as add-on to Metformin and/or TZD in Subjects With Type 2 Diabetes (SUSTAIN™ 2 - vs. DPP-4 Inhibitor),Completed,Phase 3,1231,4
NCT02054897,2019-06-12,2014-02-03,2015-05-08,2015-05-08,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo in Drug-naïve Subjects With Type 2 Diabetes,Completed,Phase 3,388,4
NCT02128932,2019-06-13,2014-08-04,2015-09-03,2015-09-03,Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as Add on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,Completed,Phase 3,1089,3
NCT02607865,2022-07-20,2016-02-15,2018-03-28,2017-02-14,Efficacy and Long-term Safety of Oral Semaglutide Versus Sitagliptin in Subjects With Type 2 Diabetes,Completed,Phase 3,1864,4
NCT02863328,2022-07-20,2016-08-10,2018-03-08,2017-08-01,Efficacy and Safety of Oral Semaglutide Versus Empagliflozin in Subjects With Type 2 Diabetes Mellitus,Completed,Phase 3,822,2
NCT02863419,2022-07-20,2016-08-10,2018-03-30,2017-08-19,Efficacy and Safety of Oral Semaglutide Versus Liraglutide and Versus Placebo in Subjects With Type 2 Diabetes Mellitus,Completed,Phase 3,711,3
NCT02906930,2022-07-20,2016-09-20,2017-12-08,2017-10-30,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only.,Completed,Phase 3,703,4
NCT03730662,2022-02-14,2018-11-20,2021-04-22,2021-01-22,Efficacy and Safety of LY3298176 Once Weekly Versus Insulin Glargine in Patients With Type 2 Diabetes and Increased Cardiovascular Risk (SURPASS-4),Completed,Phase 3,2002,4
NCT03882970,2022-01-19,2019-04-01,2021-01-04,2020-12-11,"A Randomized, Phase 3, Open-Label Trial Comparing the Effect of LY3298176 Versus Titrated Insulin Degludec on Glycemic Control in Patients With Type 2 Diabetes",Completed,Phase 3,1444,4
NCT03954834,2021-10-20,2019-06-03,2020-10-28,2020-10-05,"A Randomized, Double-blind, Placebo-Controlled Trial Comparing the Efficacy and Safety of Three Tirzepatide Doses Versus Placebo in Patients With Type 2 Diabetes, Inadequately Controlled With Diet and Exercise Alone",Completed,Phase 3,478,4
NCT03987919,2022-02-14,2019-07-30,2021-02-15,2021-01-28,"A Phase 3, Randomized, Open-Label Trial Comparing Efficacy and Safety of Tirzepatide Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Patients With Type 2 Diabetes",Completed,Phase 3,1879,4
NCT05259033,2022-12-14,2022-04-11,2024-02-17,2024-01-12,"A 52 Week Study Comparing the Efficacy and Safety of Once Weekly IcoSema and Once Weekly Semaglutide, Both Treatment Arms With or Without Oral Anti Diabetic Drugs, in Participants With Type 2 Diabetes Inadequately Controlled With a GLP 1 Receptor Agonist. COMBINE 2",Recruiting,Phase 3,680,2
NCT05260021,2022-12-12,2022-04-13,2027-12-31,2027-11-30,"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study With an Open-Label Extension Assessing the Efficacy, Safety, and Pharmacokinetics/Pharmacodynamics of Tirzepatide in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin, or Basal Insulin, or Both",Recruiting,Phase 3,90,3
NCT05433584,2022-12-12,2022-08-01,2027-06-07,2025-05-09,"A Randomized, Open-Label, Parallel-Group, Two-Arm, Phase 4 Study to Evaluate the Long-Term Efficacy and Safety of Tirzepatide Compared With Intensified Conventional Care in Adults When Initiating Treatment Early in the Course of Type 2 Diabetes",Recruiting,Phase 4,780,2
NCT05441267,2022-11-10,2022-12-31,2048-08-17,2028-08-17,A Study of Cardiovascular Events iN Diabetes Plus,Not yet recruiting,Phase 4,20000,2
